@Magic_Gancelot	1432544894	宮下先生かます用のカメラかと思ったら研究だった #EP演習
@matatsuna	1432544900	さてさて～緊張するねこれ！！#EP演習
@3846masa	1432544904	始まるよ！ #EP演習
@nkzrs	1432544907	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!!! #EP演習
@fms3_hy	1432544909	スタート！！#EP演習
@kwzr	1432544911	はじまた #EP演習
@mugityalove	1432544918	そこまでの子が出ないｗｗｗｗ #EP演習
@nao_minty	1432544919	きたきたきたきたーー！！ #EP演習
@mkk_fms	1432544921	ふううううううううううううううううううううううううううううううううううううううううううううううううううううううううううう#EP演習
@7th_FMS	1432544921	はじまった！！！！#EP演習
@senninmame	1432544922	始まり始まり～～～～　#EP演習
@HRYooba	1432544924	一年生の緊張感 #EP演習
@k_k_k_k_koki	1432544929	初めまして　#EP演習
@aristocrat_	1432544930	楽しみ #EP演習
@kkrnt	1432544931	始まった！！！#EP演習
@ttysnk81	1432544931	久しぶりにこのハッシュタグ使う　#EP演習
@thimi_fms	1432544931	かっこいい宮下先生！！！#EP演習 pic.twitter.com/fK1SZw5i92
@sskai_fms	1432544935	始まりマス#EP演習
@tkd_phydes	1432544936	始まりました!!!!!#EP演習
@Air_mc	1432544936	緊張する~ 　#EP演習
@chiko162	1432544941	発表会はじまるよー #EP演習
@kwzr	1432544942	ハッシュタグ一応両方つけておきます #EP演習 #EP演習発表会
@fms_hama	1432544944	はじまったー！(。>д<)#EP演習
@thimi_fms	1432544945	きたぁーーー！！！#EP演習
@F_Rikuya	1432544950	始まる！！！！ #EP演習
@sskai_fms	1432544950	TLくっそ早いwwwwww#EP演習
@nyu___nSfms	1432544951	１年生がんべれんご！！#EP演習
@kitsune0427	1432544952	始まりました #EP演習
@O0omatsuko0O	1432544953	発表緊張する… #EP演習
@irucalab	1432544958	きました #EP演習
@mugityalove	1432544959	わおわお #EP演習
@revC_Rain	1432544960	確かに！？　#EP演習
@aristocrat_	1432544960	成長を見たいんや #EP演習
@pvcresin	1432544960	楽しみ #EP演習
@yukaloeuph1128	1432544961	しばらくうるさくなります#EP演習
@thimi_fms	1432544962	本当にこれは無茶ぶりだけど楽しいよ！笑笑#EP演習
@sy_724	1432544964	あれから、1年、か…#EP演習
@thistle0701	1432544972	みんなのパソコンの光がふわーっとしててちょっとホラー#EP演習
@revC_Rain	1432544973	赤ちゃんを見にくるようなもの！！　#EP演習
@GentleClarinet	1432544975	これからガチ勢たちのハイクオリティーな発表会が始まる！！！！！！！！！！！！！！！！！！！！！#EP演習
@matatsuna	1432544977	企業の方ありがとうございます！#EP演習
@y_fkey	1432544978	#EP演習がんばってください
@kabocha_muri	1432544978	オギャーーーーーー！！！！！  #EP演習
@mokurei123	1432544978	親の気持ちってかｗ　#EP演習
@irucalab	1432544979	２年たったなんて信じられないな #EP演習
@nkzrs	1432544982	baby達 #EP演習
@pvcresinfmsfms	1432544982	おぎゃあ #EP演習
@Tanion0311	1432544984	ヤバい、めっちゃ緊張してきた・・・ #EP演習
@tkgdisco	1432544985	発表緊張するな… #EP演習
@fajiken1226	1432544986	始まった！ #EP演習 pic.twitter.com/RcSST80kLn
@hiroetty_fms	1432544989	僕も、YouTubeにあげるように作ろうと思っておりますので、使って欲しくない、写して欲しくないという方は事前にご連絡ください。 #EP演習
@nao_minty	1432545008	一年生頑張れー！！！ #EP演習
@matatsuna	1432545008	産声を上げる一年生を見てください！（無茶ブリです！）#EP演習
@mokurei123	1432545011	もう一年たったのか（懐古厨）　#EP演習
@mogamusa31	1432545012	初めまして　#EP演習
@F_Rikuya	1432545013	発表しないのに緊張する　#EP演習
@ooo_fms	1432545016	異様なテンション　#EP演習
@LikeKnt	1432545016	温かい目でお願いします！　#EP演習
@nakamura	1432545017	お酒の新酒みたいなものだよね #EP演習
@tkd_phydes	1432545018	これ来週自分が出ると思うと…#EP演習
@kabocha_muri	1432545019	はいはいはいはい #EP演習
@senninmame	1432545021	#EP演習　忘れずに
@thimi_fms	1432545022	あたしがいる間は写真をあげようと思います！#EP演習
@fms3_hy	1432545022	盛り上がるよー#EP演習
@FMS_Lichen	1432545024	トレンド目指すぞ！ #EP演習
@nkzrs	1432545026	ツィート #EP演習
@mokurei123	1432545027	目指せトレンド　#EP演習
@sskai_fms	1432545027	トレンド1位を目指そう！！#EP演習
@orangina_1102	1432545029	見に来てます#EP演習
@aristocrat_	1432545031	ツィート #EP演習
@mugityalove	1432545033	ノートPC全力出したら眩しいｗｗｗ #EP演習
@HRYooba	1432545033	初めの子が緊張しまくってる #EP演習
@kwzr	1432545037	@kwzr ハッシュタグ、こっちらしい #EP演習
